SPCD,COMMON_NAME,SHARED_COMMON_NAME_IND,GENUS,SPECIES,VARIETY,SUBSPECIES,SCIENTIFIC_NAME,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,JENKINS_SPGRPCD,JENKINS_SAPLING_ADJUSTMENT,SITETREE,SFTWD_HRDWD,WOODLAND,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,CARBON_RATIO_LIVE,DRYWT_TO_GREENWT_CONVERSION,CREATED_DATE,MODIFIED_DATE
7007,cock's spur,N,Erythrina,eggersii,,,Erythrina eggersii,EREG,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7008,bucayo,N,Erythrina,fusca,,,Erythrina fusca,ERFU2,54.0,54.0,54.0,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7011,mountain immortelle,N,Erythrina,poeppigiana,,,Erythrina poeppigiana,ERPO5,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7012,wili wili,N,Erythrina,sandwicensis,,,Erythrina sandwicensis,ERSA11,54.0,54.0,,54.0,3.0,37.0,221.0,8.0,0.84031,,H,N,0.258,26.0,0.258,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.484,1.76,2021-09-03 22:38:54,
7014,gatae palagi,N,Erythrina,subumbrans,,,Erythrina subumbrans,ERSU15,54.0,54.0,,54.0,3.0,37.0,221.0,8.0,0.84031,,H,N,0.23,,0.23,,,,,,15.32,26.0,,,,,,,0.485,1.76,2021-09-03 22:38:54,
7015,tiger's claw,Y,Erythrina,variegata,,,Erythrina variegata,ERVA7,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7019,swamp-redwood,N,Erythroxylum,areolatum,,,Erythroxylum areolatum,ERAR17,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7021,ratwood,N,Erythroxylum,rotundifolium,,,Erythroxylum rotundifolium,ERRO3,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7022,rufous false cocaine,N,Erythroxylum,rufum,,,Erythroxylum rufum,ERRU4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7024,Urban's false cocaine,N,Erythroxylum,urbanii,,,Erythroxylum urbanii,ERUR4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7025,southern mahogany,N,Eucalyptus,botryoides,,,Eucalyptus botryoides,EUBO2,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.639,,0.639,,,,,,15.2,24.0,,,,,,,0.471,1.76,2021-09-03 22:38:54,
7026,applebox,N,Eucalyptus,bridgesiana,,,Eucalyptus bridgesiana,EUBR2,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.80539,,0.80539,,,,,,15.2,24.0,,,,,,,0.465,1.76,2021-09-03 22:38:54,
512,river redgum,N,Eucalyptus,camaldulensis,,,Eucalyptus camaldulensis,EUCA2,43.0,47.0,,54.0,4.0,26.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.454,1.758473594,2021-09-03 22:38:53,
7028,argyle apple,N,Eucalyptus,cinerea,,,Eucalyptus cinerea,EUCI80,54.0,54.0,,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.657,,0.657,,,,,,15.2,24.0,,,,,,,0.47,1.76,2021-09-03 22:38:54,
7030,sugargum,N,Eucalyptus,cladocalyx,,,Eucalyptus cladocalyx,EUCL,54.0,54.0,,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,,,,,,,0.475,1.758473594,2021-09-03 22:38:54,
7035,silver-dollar eucalyptus,N,Eucalyptus,cordata,,,Eucalyptus cordata,EUCO31,55.0,55.0,,,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,24.0,0.53,24.0,,,,,15.2,24.0,,,,,,,0.47,,2021-09-03 22:38:54,
7031,yate,N,Eucalyptus,cornuta,,,Eucalyptus cornuta,EUCO3,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.9063,,0.9063,,,,,,15.2,24.0,,,,,,,0.461,1.76,2021-09-03 22:38:54,
7032,narrowleaf red ironbark,N,Eucalyptus,crebra,,,Eucalyptus crebra,EUCR,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.92578,,0.92578,,,,,,15.2,24.0,,,,,,,0.461,1.76,2021-09-03 22:38:54,
7033,roundleaf gum,N,Eucalyptus,deanei,,,Eucalyptus deanei,EUDE,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.609,,0.609,,,,,,15.2,24.0,,,,,,,0.472,1.76,2021-09-03 22:38:54,
7034,Indonesian gum,N,Eucalyptus,deglupta,,,Eucalyptus deglupta,EUDE2,54.0,54.0,54.0,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
511,Tasmanian bluegum,N,Eucalyptus,globulus,,,Eucalyptus globulus,EUGL,43.0,47.0,54.0,54.0,4.0,26.0,148.0,8.0,0.96395,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.478,1.758473594,2021-09-03 22:38:53,
7038,tuart,N,Eucalyptus,gomphocephala,,,Eucalyptus gomphocephala,EUGO,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.86788,,0.86788,,,,,,15.2,24.0,,,,,,,0.463,1.76,2021-09-03 22:38:54,
7039,mountain graygum,N,Eucalyptus,goniocalyx,,,Eucalyptus goniocalyx,EUGO2,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.73835,,0.73835,,,,,,15.2,24.0,,,,,,,0.467,1.76,2021-09-03 22:38:54,
513,grand eucalyptus,N,Eucalyptus,grandis,,,Eucalyptus grandis,EUGR12,43.0,47.0,54.0,54.0,4.0,26.0,148.0,8.0,0.93185,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:53,
7041,white box,N,Eucalyptus,hemiphloia,,,Eucalyptus hemiphloia,EUHE12,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.82656,,0.82656,,,,,,15.2,24.0,,,,,,,0.464,1.76,2021-09-03 22:38:54,
7036,white ironbark,N,Eucalyptus,leucoxylon,,,Eucalyptus leucoxylon,EULE13,55.0,55.0,,,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,,,,,,,0.475,1.758473594,2021-09-03 22:38:54,
7043,spotted gum,N,Eucalyptus,maculata,,,Eucalyptus maculata,EUMA23,54.0,54.0,54.0,,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7044,jarrah,N,Eucalyptus,marginata,,,Eucalyptus marginata,EUMA4,54.0,54.0,,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.70602,,0.70602,,,,,,15.2,24.0,,,,,,,0.468,1.76,2021-09-03 22:38:54,
7045,Australian tallowwood,N,Eucalyptus,microcorys,,,Eucalyptus microcorys,EUMI,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.82843,,0.82843,,,,,,15.2,24.0,,,,,,,0.464,1.76,2021-09-03 22:38:54,
7046,gray ironbark,N,Eucalyptus,paniculata,,,Eucalyptus paniculata,EUPA,54.0,54.0,54.0,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7047,blackbutt,N,Eucalyptus,pilularis,,,Eucalyptus pilularis,EUPI,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.73051,26.0,0.73051,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.467,1.76,2021-09-03 22:38:54,
7040,redbox,N,Eucalyptus,polyanthemos,,,Eucalyptus polyanthemos,EUPO,55.0,55.0,,,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,,,,,,,0.475,1.758473594,2021-09-03 22:38:54,
7048,black ironbox,N,Eucalyptus,raveretiana,,,Eucalyptus raveretiana,EURA4,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.93849,,0.93849,,,,,,15.2,24.0,,,,,,,0.46,1.76,2021-09-03 22:38:54,
7049,redmahogany,N,Eucalyptus,resinifera,,,Eucalyptus resinifera,EURE2,54.0,54.0,54.0,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
514,swampmahogany,N,Eucalyptus,robusta,,,Eucalyptus robusta,EURO2,43.0,47.0,54.0,54.0,4.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:53,
7051,Western Australian floodedgum,N,Eucalyptus,rudis,,,Eucalyptus rudis,EURU2,54.0,54.0,,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,,,,,,,0.475,1.758473594,2021-09-03 22:38:54,
7052,black peppermint,N,Eucalyptus,salicifolia,,,Eucalyptus salicifolia,EUSA17,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.82656,,0.82656,,,,,,15.2,24.0,,,,,,,0.464,1.76,2021-09-03 22:38:54,
7053,Sydney bluegum,N,Eucalyptus,saligna,,,Eucalyptus saligna,EUSA,54.0,54.0,54.0,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7054,red ironbark,N,Eucalyptus,sideroxylon,,,Eucalyptus sideroxylon,EUSI2,54.0,54.0,,54.0,3.0,37.0,148.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,,,,,,,0.475,1.758473594,2021-09-03 22:38:54,
7056,forest redgum,N,Eucalyptus,tereticornis,,,Eucalyptus tereticornis,EUTE,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.82732,,0.82732,,,,,,15.2,24.0,,,,,,,0.464,1.76,2021-09-03 22:38:54,
7057,manna gum,N,Eucalyptus,viminalis,,,Eucalyptus viminalis,EUVI,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84031,,H,N,0.59927,,0.59927,,,,,,15.2,24.0,,,,,,,0.472,1.76,2021-09-03 22:38:54,
7059,"edebsachel, chedebsachel",N,Eugenia,aquea,,,Eugenia aquea,EUAQ,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,,0.73,,,,,,15.2,24.0,,,,,,,0.467,1.76,2021-09-03 22:38:54,
7060,white stopper,N,Eugenia,axillaris,,,Eugenia axillaris,EUAX,54.0,54.0,54.0,,3.0,37.0,221.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,2.0,2021-09-03 22:38:54,
7061,blackrodwood,N,Eugenia,biflora,,,Eugenia biflora,EUBI,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7062,Sierra de Cayey stopper,N,Eugenia,boqueronensis,,,Eugenia boqueronensis,EUBO3,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7063,guayabota de sierra,N,Eugenia,borinquensis,,,Eugenia borinquensis,EUBO4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7065,cloves,N,Eugenia,caryophyllus,,,Eugenia caryophyllus,EUCA16,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,,0.73,,,,,,15.2,24.0,,,,,,,0.467,1.76,2021-09-03 22:38:54,
7066,redberry stopper,N,Eugenia,confusa,,,Eugenia confusa,EUCO4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7067,lathberry,Y,Eugenia,cordata,,,Eugenia cordata,EUCO5,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7069,sperry guava,N,Eugenia,corozalensis,,,Eugenia corozalensis,EUCO13,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7071,serrette guave,N,Eugenia,domingensis,,,Eugenia domingensis,EUDO,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7072,guasabara,N,Eugenia,eggersii,,,Eugenia eggersii,EUEG,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7075,smooth rodwood,N,Eugenia,glabrata,,,Eugenia glabrata,EUGL6,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7076,Luquillo Mountain stopper,N,Eugenia,haematocarpa,,,Eugenia haematocarpa,EUHA4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7078,"macupa, wax apple",N,Eugenia,javanica,,,Eugenia javanica,EUJA4,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,26.0,0.73,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.467,1.76,2021-09-03 22:38:54,
7079,nioi,N,Eugenia,koolauensis,,,Eugenia koolauensis,EUKO,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,,0.73,,,,,,15.2,24.0,,,,,,,0.467,1.76,2021-09-03 22:38:54,
7081,privet stopper,N,Eugenia,ligustrina,,,Eugenia ligustrina,EULI,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7082,"makupa, malay apple",N,Eugenia,malaccensis,,,Eugenia malaccensis,EUMA5,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,26.0,0.73,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.505,1.76,2021-09-03 22:38:54,
7084,birdcherry,N,Eugenia,monticola,,,Eugenia monticola,EUMO,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7087,orenged,N,Eugenia,palauensis,,,Eugenia palauensis,EUPA3,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,26.0,0.73,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.467,1.76,2021-09-03 22:38:54,
7088,agatelang,N,Eugenia,palumbis,,,Eugenia palumbis,EUPA28,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.73,26.0,0.73,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.467,1.76,2021-09-03 22:38:54,
